pre,id,Cuenta,Penloc_Label,Penloc_context0
P_I,396,Ingresos por actuaciones de urbanización,penloc2-econ-ingr-cuentas:IngresosPorActuacionesDeUrbanizacion,penloc2-econ-ingr-importes:PrevisionInicial
P_I,396.00,Canon de urbanización,penloc2-econ-ingr-cuentas:CanonDeUrbanizacion,penloc2-econ-ingr-importes:PrevisionInicial
P_I,396.10,Cuotas de urbanización,penloc2-econ-ingr-cuentas:CuotasDeUrbanizacion,penloc2-econ-ingr-importes:PrevisionInicial
P_I,397,Aprovechamientos urbanísticos,penloc2-econ-ingr-cuentas:AprovechamientosUrbanisticos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,397.00,Canon por aprovechamientos urbanísticos,penloc2-econ-ingr-cuentas:CanonPorAprovechamientosUrbanisticos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,397.10,Otros ingresos por aprovechamientos urbanísticos,penloc2-econ-ingr-cuentas:OtrosIngresosPorAprovechamientosUrbanisticos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,398,Indemnizaciones de seguros de no vida,penloc2-econ-ingr-cuentas:IndemnizacionesDeSegurosDeNoVida,penloc2-econ-ingr-importes:PrevisionInicial
P_I,399,Otros ingresos diversos,penloc2-econ-ingr-cuentas:OtrosIngresosDiversos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,4,TRANSFERENCIA CORRIENTES,penloc2-econ-ingr-cuentas:TransferenciaCorrientes,penloc2-econ-ingr-importes:PrevisionInicial
P_I,40,De la Administración General de la Entidad Local,penloc2-econ-ingr-cuentas:TransferenciaCorrientes_DeLaAdministracionGeneralDeLaEntidadLocal,penloc2-econ-ingr-importes:PrevisionInicial
P_I,41,De Organismos Autónomos de la Entidad Local,penloc2-econ-ingr-cuentas:TransferenciaCorrientes_DeOrganismosAutonomosDeLaEntidadLocal,penloc2-econ-ingr-importes:PrevisionInicial
P_I,42,De la Administración del Estado,penloc2-econ-ingr-cuentas:TransferenciaCorrientes_DeLaAdministracionDelEstado,penloc2-econ-ingr-importes:PrevisionInicial
P_I,420,De la Administración General del Estado,penloc2-econ-ingr-cuentas:TransferenciaCorrientes_DeLaAdministracionDelEstado_DeLaAdministracionGeneralDelEstado,penloc2-econ-ingr-importes:PrevisionInicial
P_I,420.00,Participación en los Tributos del Estado,penloc2-econ-ingr-cuentas:ParticipacionEnLosTributosDelEstado,penloc2-econ-ingr-importes:PrevisionInicial
P_I,420.10,Fondo Complementario de Financiación,penloc2-econ-ingr-cuentas:FondoComplementarioDeFinanciacion,penloc2-econ-ingr-importes:PrevisionInicial
P_I,420.20,Compensación por beneficios fiscales,penloc2-econ-ingr-cuentas:CompensacionPorBeneficiosFiscales,penloc2-econ-ingr-importes:PrevisionInicial
P_I,420.90,Otras transferencias corrientes de la Administración General del Estado,penloc2-econ-ingr-cuentas:OtrasTransferenciasCorrientesDeLaAdministracionGeneralDelEstado,penloc2-econ-ingr-importes:PrevisionInicial
P_I,421,De Organismos Autónomos y agencias estatales,penloc2-econ-ingr-cuentas:TransferenciaCorrientes_DeLaAdministracionDelEstado_DeOrganismosAutonomosYAgenciasEstatales,penloc2-econ-ingr-importes:PrevisionInicial
P_I,421.00,Del Servicio Público de Empleo Estatal,penloc2-econ-ingr-cuentas:TransferenciaCorrientes_DeLaAdministracionDelEstado_DeOrganismosAutonomosYAgenciasEstatales_DelServicioPublicoDeEmpleoEstatal,penloc2-econ-ingr-importes:PrevisionInicial
P_I,421.90,De otros Organismos Autónomos y Agencias,penloc2-econ-ingr-cuentas:TransferenciaCorrientes_DeLaAdministracionDelEstado_DeOrganismosAutonomosYAgenciasEstatales_DeOtrosOrganismosAutonomosYAgencias,penloc2-econ-ingr-importes:PrevisionInicial
P_I,422,De fundaciones estatales,penloc2-econ-ingr-cuentas:TransferenciaCorrientes_DeLaAdministracionDelEstado_DeFundacionesEstatales,penloc2-econ-ingr-importes:PrevisionInicial
P_I,423,"De sociedades mercantiles estatales, entidades públicas empresariales y otros organismos públicos",penloc2-econ-ingr-cuentas:TransferenciaCorrientes_DeLaAdministracionDelEstado_DeSociedadesMercantilesEstatalesEntidadesPublicasEmpresarialesYOtrosOrganismosPublicos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,423.00,De Loterías y Apuestas del Estado,penloc2-econ-ingr-cuentas:TransferenciaCorrientes_DeLaAdministracionDelEstado_DeSociedadesMercantilesEstatalesEntidadesPublicasEmpresarialesYOtrosOrganismosPublicos_DeLoteriasYApuestasDelEstado,penloc2-econ-ingr-importes:PrevisionInicial
P_I,423.90,"De otras sociedades mercantiles estatales, entidades públicas empresariales y organismos públicos",penloc2-econ-ingr-cuentas:DeOtrasSociedadesMercantilesEstatalesEntidadesPublicasEmpresarialesYOrganismosPublicos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,43,De la Seguridad Social,penloc2-econ-ingr-cuentas:TransferenciaCorrientes_DeLaSeguridadSocial,penloc2-econ-ingr-importes:PrevisionInicial
P_I,44,De entes públicos y sociedades mercantiles de la Entidad local,penloc2-econ-ingr-cuentas:TransferenciaCorrientes_DeEntesPublicosYSociedadesMercantilesDeLaEntidadLocal,penloc2-econ-ingr-importes:PrevisionInicial
P_I,440,De entes públicos,penloc2-econ-ingr-cuentas:TransferenciaCorrientes_DeEntesPublicosYSociedadesMercantilesDeLaEntidadLocal_DeEntesPublicos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,441,De sociedades mercantiles,penloc2-econ-ingr-cuentas:TransferenciaCorrientes_DeEntesPublicosYSociedadesMercantilesDeLaEntidadLocal_DeSociedadesMercantiles,penloc2-econ-ingr-importes:PrevisionInicial
P_I,45,De Comunidades Autónomas,penloc2-econ-ingr-cuentas:TransferenciaCorrientes_DeComunidadesAutonomas,penloc2-econ-ingr-importes:PrevisionInicial
P_I,450,De la Administración General de las Comunidades Autónomas,penloc2-econ-ingr-cuentas:TransferenciaCorrientes_DeComunidadesAutonomas_DeLaAdministracionGeneralDeLasComunidadesAutonomas,penloc2-econ-ingr-importes:PrevisionInicial
P_I,450.00,Participación en tributos de la Comunidad Autónoma,penloc2-econ-ingr-cuentas:ParticipacionEnTributosDeLaComunidadAutonoma,penloc2-econ-ingr-importes:PrevisionInicial
P_I,450.01,Otras transferencias incondicionadas,penloc2-econ-ingr-cuentas:OtrasTransferenciasIncondicionadas,penloc2-econ-ingr-importes:PrevisionInicial
